Date,Open,High,Low,Close,Volume,Volatility
2021-03-23,9941,10010,9767,9775,12144000,243
2021-03-22,9819,9983,9814,9864,14719700,169
2021-03-19,9977,10115,9890,9969,20715700,225
2021-03-18,10515,10515,10195,10220,13941600,320
2021-03-17,10485,10565,10400,10400,9771000,165
2021-03-16,10410,10695,10405,10620,11346000,290
2021-03-15,10610,10615,10290,10370,12041200,325
2021-03-12,10375,10650,10345,10635,17351500,305
2021-03-11,10020,10290,9989,10290,11014200,301
2021-03-10,10150,10225,9911,10120,14756000,314
2021-03-09,9656,10155,9650,10130,16505600,505
2021-03-08,10180,10195,9763,9818,16223200,432
2021-03-05,9750,10070,9660,10055,17646400,410
2021-03-04,10285,10300,9935,10050,16723400,365
2021-03-03,10415,10600,10365,10600,8915700,235
2021-03-02,10625,10665,10360,10380,9830000,305
2021-03-01,10290,10440,10185,10435,11236500,255
